
Iteracao	Valor 1	Valor 2	Valor 3	Valor 4	Valor 5	Valor 6	Valor 7	Valor 8	Custo
30	25	24	17	16	14	12	7	9	15
31	25	24	17	16	14	12	7	9	17
32	25	24	17	16	14	12	7	9	19
33	25	24	17	16	14	12	7	9	17
34	25	24	17	16	14	12	7	9	15
35	25	24	17	16	14	12	7	9	19
36	25	24	17	16	14	12	7	9	15
37	25	24	17	16	14	12	7	9	17
38	25	24	17	16	14	12	7	9	18
39	25	24	17	16	14	12	7	9	19
40	25	24	17	16	14	12	7	9	15
41	25	24	17	16	14	12	7	9	17
42	25	24	17	16	14	12	7	9	17
43	25	24	17	16	14	12	7	9	17
44	25	24	17	16	14	12	7	9	17
45	25	24	17	16	14	12	7	9	19
46	25	24	17	16	14	12	7	9	17
47	25	24	17	16	14	12	7	9	17
48	25	24	17	16	14	12	7	9	18
49	25	24	17	16	14	12	7	9	19
50	25	24	17	16	14	12	7	9	17
51	25	24	17	16	14	12	7	9	17
52	25	24	17	16	14	12	7	9	16
53	25	24	17	16	14	12	7	9	17
54	25	24	17	16	14	12	7	9	19
55	25	24	17	16	14	12	7	9	17
56	25	24	17	16	14	12	7	9	18
57	25	24	17	16	14	12	7	9	18
58	25	24	17	16	14	12	7	9	15
59	25	24	17	16	14	12	7	9	18
60	25	24	17	16	14	12	7	9	15
61	25	24	17	16	14	12	7	9	19
62	25	24	17	16	14	12	7	9	17
63	25	24	17	16	14	12	7	9	16
64	25	24	17	16	14	12	7	9	18
65	25	24	17	16	14	12	7	9	16
66	25	24	17	16	14	12	7	9	17
67	25	24	17	16	14	12	7	9	19
68	25	24	17	16	14	12	7	9	17
69	25	24	17	16	14	12	7	9	19
70	25	24	17	16	14	12	7	9	19
71	25	24	17	16	14	12	7	9	18
72	25	24	17	16	14	12	7	9	17
73	25	24	17	16	14	12	7	9	16
74	25	24	17	16	14	12	7	9	17
75	25	24	17	16	14	12	7	9	17
76	25	24	17	16	14	12	7	9	17
77	25	24	17	16	14	12	7	9	19
78	25	24	17	16	14	12	7	9	17
79	25	24	17	16	14	12	7	9	19
80	25	24	17	16	14	12	7	9	19
81	25	24	17	16	14	12	7	9	16
82	25	24	17	16	14	12	7	9	17
83	25	24	17	16	14	12	7	9	18
84	25	24	17	16	14	12	7	9	19
85	25	24	17	16	14	12	7	9	19
86	25	24	17	16	14	12	7	9	19
87	25	24	17	16	14	12	7	9	17
88	25	24	17	16	14	12	7	9	17
89	25	24	17	16	14	12	7	9	19
90	25	24	17	16	14	12	7	9	18
91	25	24	17	16	14	12	7	9	17
92	25	24	17	16	14	12	7	9	19
93	25	24	17	16	14	12	7	9	19
94	25	24	17	16	14	12	7	9	17
95	25	24	17	16	14	12	7	9	19
96	25	24	17	16	14	12	7	9	17
97	25	24	17	16	14	12	7	9	16
98	25	24	17	16	14	12	7	9	17
99	25	24	17	16	14	12	7	9	19
100	25	24	17	16	14	12	7	9	20

Iteracao	Valor 1	Valor 2	Valor 3	Valor 4	Valor 5	Valor 6	Valor 7	Valor 8	Custo
0	25	24	17	16	14	12	7	9	18
1	25	24	17	16	14	12	7	9	17
2	25	24	17	16	14	12	7	9	18
3	25	24	17	16	14	12	7	9	19
4	25	24	17	16	14	12	7	9	15
5	25	24	17	16	14	12	7	9	19
6	25	24	17	16	14	12	7	9	16
7	25	24	17	16	14	12	7	9	16
8	25	24	17	16	14	12	7	9	17
9	25	24	17	16	14	12	7	9	16
10	25	24	17	16	14	12	7	9	16
11	25	24	17	16	14	12	7	9	18
12	25	24	17	16	14	12	7	9	15
13	25	24	17	16	14	12	7	9	17
14	25	24	17	16	14	12	7	9	18
15	25	24	17	16	14	12	7	9	17
16	25	24	17	16	14	12	7	9	16
17	25	24	17	16	14	12	7	9	18
18	25	24	17	16	14	12	7	9	17
19	25	24	17	16	14	12	7	9	15
20	25	24	17	16	14	12	7	9	17
21	25	24	17	16	14	12	7	9	18
22	25	24	17	16	14	12	7	9	18
23	25	24	17	16	14	12	7	9	19
24	25	24	17	16	14	12	7	9	19
25	25	24	17	16	14	12	7	9	19
26	25	24	17	16	14	12	7	9	18
27	25	24	17	16	14	12	7	9	15
28	25	24	17	16	14	12	7	9	19
29	25	24	17	16	14	12	7	9	18
30	25	24	17	16	14	12	7	9	17
31	25	24	17	16	14	12	7	9	15
32	25	24	17	16	14	12	7	9	19
33	25	24	17	16	14	12	7	9	16
34	25	24	17	16	14	12	7	9	17
35	25	24	17	16	14	12	7	9	15
36	25	24	17	16	14	12	7	9	17
37	25	24	17	16	14	12	7	9	19
38	25	24	17	16	14	12	7	9	15
39	25	24	17	16	14	12	7	9	15
40	25	24	17	16	14	12	7	9	17
41	25	24	17	16	14	12	7	9	16
42	25	24	17	16	14	12	7	9	19
43	25	24	17	16	14	12	7	9	15
44	25	24	17	16	14	12	7	9	18
45	25	24	17	16	14	12	7	9	16
46	25	24	17	16	14	12	7	9	19
47	25	24	17	16	14	12	7	9	15
48	25	24	17	16	14	12	7	9	16
49	25	24	17	16	14	12	7	9	15
50	25	24	17	16	14	12	7	9	19
51	25	24	17	16	14	12	7	9	16
52	25	24	17	16	14	12	7	9	15
53	25	24	17	16	14	12	7	9	15
54	25	24	17	16	14	12	7	9	18
55	25	24	17	16	14	12	7	9	15
56	25	24	17	16	14	12	7	9	17
57	25	24	17	16	14	12	7	9	18
58	25	24	17	16	14	12	7	9	16
59	25	24	17	16	14	12	7	9	15
60	25	24	17	16	14	12	7	9	17
61	25	24	17	16	14	12	7	9	19
62	25	24	17	16	14	12	7	9	18
63	25	24	17	16	14	12	7	9	19
64	25	24	17	16	14	12	7	9	17
65	25	24	17	16	14	12	7	9	19
66	25	24	17	16	14	12	7	9	16
67	25	24	17	16	14	12	7	9	19
68	25	24	17	16	14	12	7	9	18
69	25	24	17	16	14	12	7	9	18
70	25	24	17	16	14	12	7	9	19
71	25	24	17	16	14	12	7	9	17
72	25	24	17	16	14	12	7	9	16
73	25	24	17	16	14	12	7	9	17
74	25	24	17	16	14	12	7	9	15
75	25	24	17	16	14	12	7	9	17
76	25	24	17	16	14	12	7	9	16
77	25	24	17	16	14	12	7	9	19
78	25	24	17	16	14	12	7	9	18
79	25	24	17	16	14	12	7	9	17
80	25	24	17	16	14	12	7	9	18
81	25	24	17	16	14	12	7	9	19
82	25	24	17	16	14	12	7	9	16
83	25	24	17	16	14	12	7	9	18
84	25	24	17	16	14	12	7	9	17
85	25	24	17	16	14	12	7	9	16
86	25	24	17	16	14	12	7	9	17
87	25	24	17	16	14	12	7	9	17
88	25	24	17	16	14	12	7	9	18
89	25	24	17	16	14	12	7	9	16
90	25	24	17	16	14	12	7	9	17
91	25	24	17	16	14	12	7	9	17
92	25	24	17	16	14	12	7	9	17
93	25	24	17	16	14	12	7	9	18
94	25	24	17	16	14	12	7	9	19
95	25	24	17	16	14	12	7	9	18
96	25	24	17	16	14	12	7	9	18
97	25	24	17	16	14	12	7	9	17
98	25	24	17	16	14	12	7	9	19
99	25	24	17	16	14	12	7	9	19
100	25	24	17	16	14	12	7	9	20

Iteracao	Valor 1	Valor 2	Valor 3	Valor 4	Valor 5	Valor 6	Valor 7	Valor 8	Custo
0	25	24	17	16	14	12	7	9	19
1	25	24	17	16	14	12	7	9	18
2	25	24	17	16	14	12	7	9	18
3	25	24	17	16	14	12	7	9	15
4	25	24	17	16	14	12	7	9	17
5	25	24	17	16	14	12	7	9	16
6	25	24	17	16	14	12	7	9	15
7	25	24	17	16	14	12	7	9	17
8	25	24	17	16	14	12	7	9	19
9	25	24	17	16	14	12	7	9	15
10	25	24	17	16	14	12	7	9	15
11	25	24	17	16	14	12	7	9	17
12	25	24	17	16	14	12	7	9	16
13	25	24	17	16	14	12	7	9	18
14	25	24	17	16	14	12	7	9	18
15	25	24	17	16	14	12	7	9	19
16	25	24	17	16	14	12	7	9	18
17	25	24	17	16	14	12	7	9	19
18	25	24	17	16	14	12	7	9	19
19	25	24	17	16	14	12	7	9	18
20	25	24	17	16	14	12	7	9	17
21	25	24	17	16	14	12	7	9	15
22	25	24	17	16	14	12	7	9	17
23	25	24	17	16	14	12	7	9	16
24	25	24	17	16	14	12	7	9	19
25	25	24	17	16	14	12	7	9	16
26	25	24	17	16	14	12	7	9	15
27	25	24	17	16	14	12	7	9	19
28	25	24	17	16	14	12	7	9	17
29	25	24	17	16	14	12	7	9	18
30	25	24	17	16	14	12	7	9	15
31	25	24	17	16	14	12	7	9	19
32	25	24	17	16	14	12	7	9	19
33	25	24	17	16	14	12	7	9	15
34	25	24	17	16	14	12	7	9	16
35	25	24	17	16	14	12	7	9	18
36	25	24	17	16	14	12	7	9	15
37	25	24	17	16	14	12	7	9	17
38	25	24	17	16	14	12	7	9	19
39	25	24	17	16	14	12	7	9	18
40	25	24	17	16	14	12	7	9	17
41	25	24	17	16	14	12	7	9	17
42	25	24	17	16	14	12	7	9	16
43	25	24	17	16	14	12	7	9	19
44	25	24	17	16	14	12	7	9	17
45	25	24	17	16	14	12	7	9	18
46	25	24	17	16	14	12	7	9	19
47	25	24	17	16	14	12	7	9	16
48	25	24	17	16	14	12	7	9	19
49	25	24	17	16	14	12	7	9	15
50	25	24	17	16	14	12	7	9	18
51	25	24	17	16	14	12	7	9	16
52	25	24	17	16	14	12	7	9	19
53	25	24	17	16	14	12	7	9	18
54	25	24	17	16	14	12	7	9	18
55	25	24	17	16	14	12	7	9	19
56	25	24	17	16	14	12	7	9	17
57	25	24	17	16	14	12	7	9	15
58	25	24	17	16	14	12	7	9	16
59	25	24	17	16	14	12	7	9	19
60	25	24	17	16	14	12	7	9	16
61	25	24	17	16	14	12	7	9	19
62	25	24	17	16	14	12	7	9	16
63	25	24	17	16	14	12	7	9	17
64	25	24	17	16	14	12	7	9	18
65	25	24	17	16	14	12	7	9	17
66	25	24	17	16	14	12	7	9	18
67	25	24	17	16	14	12	7	9	17
68	25	24	17	16	14	12	7	9	19
69	25	24	17	16	14	12	7	9	15
70	25	24	17	16	14	12	7	9	15
71	25	24	17	16	14	12	7	9	16
72	25	24	17	16	14	12	7	9	17
73	25	24	17	16	14	12	7	9	17
74	25	24	17	16	14	12	7	9	17
75	25	24	17	16	14	12	7	9	18
76	25	24	17	16	14	12	7	9	19
77	25	24	17	16	14	12	7	9	15
78	25	24	17	16	14	12	7	9	15
79	25	24	17	16	14	12	7	9	19
80	25	24	17	16	14	12	7	9	15
81	25	24	17	16	14	12	7	9	19
82	25	24	17	16	14	12	7	9	17
83	25	24	17	16	14	12	7	9	19
84	25	24	17	16	14	12	7	9	18
85	25	24	17	16	14	12	7	9	18
86	25	24	17	16	14	12	7	9	15
87	25	24	17	16	14	12	7	9	15
88	25	24	17	16	14	12	7	9	18
89	25	24	17	16	14	12	7	9	19
90	25	24	17	16	14	12	7	9	18
91	25	24	17	16	14	12	7	9	17
92	25	24	17	16	14	12	7	9	16
93	25	24	17	16	14	12	7	9	17
94	25	24	17	16	14	12	7	9	18
95	25	24	17	16	14	12	7	9	16
96	25	24	17	16	14	12	7	9	18
97	25	24	17	16	14	12	7	9	19
98	25	24	17	16	14	12	7	9	19
99	25	24	17	16	14	12	7	9	16
100	25	24	17	16	14	12	7	9	20

Iteracao	Valor 1	Valor 2	Valor 3	Valor 4	Valor 5	Valor 6	Valor 7	Valor 8	Custo
0	25	24	17	16	14	12	7	9	17
1	25	24	17	16	14	12	7	9	17
2	25	24	17	16	14	12	7	9	19
3	25	24	17	16	14	12	7	9	19
4	25	24	17	16	14	12	7	9	19
5	25	24	17	16	14	12	7	9	15
6	25	24	17	16	14	12	7	9	15
7	25	24	17	16	14	12	7	9	16
8	25	24	17	16	14	12	7	9	19
9	25	24	17	16	14	12	7	9	19
10	25	24	17	16	14	12	7	9	17
11	25	24	17	16	14	12	7	9	19
12	25	24	17	16	14	12	7	9	19
13	25	24	17	16	14	12	7	9	16
14	25	24	17	16	14	12	7	9	17
15	25	24	17	16	14	12	7	9	15
16	25	24	17	16	14	12	7	9	18
17	25	24	17	16	14	12	7	9	17
18	25	24	17	16	14	12	7	9	16
19	25	24	17	16	14	12	7	9	18
20	25	24	17	16	14	12	7	9	19
21	25	24	17	16	14	12	7	9	17
22	25	24	17	16	14	12	7	9	19
23	25	24	17	16	14	12	7	9	15
24	25	24	17	16	14	12	7	9	18
25	25	24	17	16	14	12	7	9	17
26	25	24	17	16	14	12	7	9	16
27	25	24	17	16	14	12	7	9	19
28	25	24	17	16	14	12	7	9	15
29	25	24	17	16	14	12	7	9	19
30	25	24	17	16	14	12	7	9	17
31	25	24	17	16	14	12	7	9	17
32	25	24	17	16	14	12	7	9	19
33	25	24	17	16	14	12	7	9	18
34	25	24	17	16	14	12	7	9	15
35	25	24	17	16	14	12	7	9	18
36	25	24	17	16	14	12	7	9	19
37	25	24	17	16	14	12	7	9	18
38	25	24	17	16	14	12	7	9	15
39	25	24	17	16	14	12	7	9	18
40	25	24	17	16	14	12	7	9	15
41	25	24	17	16	14	12	7	9	19
42	25	24	17	16	14	12	7	9	16
43	25	24	17	16	14	12	7	9	17
44	25	24	17	16	14	12	7	9	17
45	25	24	17	16	14	12	7	9	17
46	25	24	17	16	14	12	7	9	16
47	25	24	17	16	14	12	7	9	18
48	25	24	17	16	14	12	7	9	15
49	25	24	17	16	14	12	7	9	17
50	25	24	17	16	14	12	7	9	16
51	25	24	17	16	14	12	7	9	19
52	25	24	17	16	14	12	7	9	19
53	25	24	17	16	14	12	7	9	18
54	25	24	17	16	14	12	7	9	15
55	25	24	17	16	14	12	7	9	17
56	25	24	17	16	14	12	7	9	16
57	25	24	17	16	14	12	7	9	18
58	25	24	17	16	14	12	7	9	17
59	25	24	17	16	14	12	7	9	15
60	25	24	17	16	14	12	7	9	19
61	25	24	17	16	14	12	7	9	18
62	25	24	17	16	14	12	7	9	18
63	25	24	17	16	14	12	7	9	15
64	25	24	17	16	14	12	7	9	19
65	25	24	17	16	14	12	7	9	18
66	25	24	17	16	14	12	7	9	17
67	25	24	17	16	14	12	7	9	16
68	25	24	17	16	14	12	7	9	19
69	25	24	17	16	14	12	7	9	19
70	25	24	17	16	14	12	7	9	19
71	25	24	17	16	14	12	7	9	18
72	25	24	17	16	14	12	7	9	16
73	25	24	17	16	14	12	7	9	19
74	25	24	17	16	14	12	7	9	19
75	25	24	17	16	14	12	7	9	16
76	25	24	17	16	14	12	7	9	19
77	25	24	17	16	14	12	7	9	15
78	25	24	17	16	14	12	7	9	19
79	25	24	17	16	14	12	7	9	18
80	25	24	17	16	14	12	7	9	15
81	25	24	17	16	14	12	7	9	19
82	25	24	17	16	14	12	7	9	18
83	25	24	17	16	14	12	7	9	16
84	25	24	17	16	14	12	7	9	16
85	25	24	17	16	14	12	7	9	17
86	25	24	17	16	14	12	7	9	19
87	25	24	17	16	14	12	7	9	15
88	25	24	17	16	14	12	7	9	19
89	25	24	17	16	14	12	7	9	17
90	25	24	17	16	14	12	7	9	17
91	25	24	17	16	14	12	7	9	18
92	25	24	17	16	14	12	7	9	18
93	25	24	17	16	14	12	7	9	16
94	25	24	17	16	14	12	7	9	18
95	25	24	17	16	14	12	7	9	19
96	25	24	17	16	14	12	7	9	19
97	25	24	17	16	14	12	7	9	15
98	25	24	17	16	14	12	7	9	18
99	25	24	17	16	14	12	7	9	17
100	25	24	17	16	14	12	7	9	20

